Open Dataset ID,Dataset Name / Title,Agency,Posting Frequency,Description,Status,Plan submission date,NYS URL,Catalog Category,Plan submission date notes
11,MTA Wi-Fi Locations,Subway,Static - Not Updated,The MTA contracted with Transit Wireless to provide WIFI access and cell service to all underground subway stations. These services began being provided in 2011 and were available at all of those stations in January 2017. This dataset is a snapshot of the stations where Wi-Fi was available in part of 2015 and 2016.,Published,Complete,https://data.ny.gov/d/pwa9-tmie,10. Assets / geographical information,
12,MTA Subway Entrances and Exits: 2024,Subway,As needed,"This is dataset contains the entrances and exits at New York City Subway stations, which includes but is not limited to: Division, Line, Station Name, and Longitude and Latitude coordinates. This data was last updated in 2015 and there are known issues with some of the data. This dataset should be used with caution until replacement data can be published.",Published,Complete,https://data.ny.gov/d/i9wp-a4ja,10. Assets / geographical information,
13,MTA Subway Turnstile Usage Data: 2014,Subway,Static - Not Updated,This retired dataset contains information on entry/exit values for individual control areas and is posted purely for archival purposes. More detailed subway ridership data is now supported through the Subway hourly dataset.,Published,Complete,https://data.ny.gov/d/i55r-43gk,2. System usage,
14,MTA Subway Turnstile Usage Data: 2015,Subway,Static - Not Updated,This retired dataset contains information on entry/exit values for individual control areas and is posted purely for archival purposes. More detailed subway ridership data is now supported through the Subway hourly dataset.,Published,Complete,https://data.ny.gov/d/ug6q-shqc,2. System usage,
15,MTA Subway Turnstile Usage Data: 2016,Subway,Static - Not Updated,This retired dataset contains information on entry/exit values for individual control areas and is posted purely for archival purposes. More detailed subway ridership data is now supported through the Subway hourly dataset.,Published,Complete,https://data.ny.gov/d/ekwu-khcy,2. System usage,
16,MTA Subway Turnstile Usage Data: 2017,Subway,Static - Not Updated,This retired dataset contains information on entry/exit values for individual control areas and is posted purely for archival purposes. More detailed subway ridership data is now supported through the Subway hourly dataset.,Published,Complete,https://data.ny.gov/d/v5y5-mwpb,2. System usage,
17,MTA Subway Turnstile Usage Data: 2018,Subway,Static - Not Updated,This retired dataset contains information on entry/exit values for individual control areas and is posted purely for archival purposes. More detailed subway ridership data is now supported through the Subway hourly dataset.,Published,Complete,https://data.ny.gov/d/bjcb-yee3,2. System usage,
18,MTA Subway Turnstile Usage Data: 2019,Subway,Static - Not Updated,This retired dataset contains information on entry/exit values for individual control areas and is posted purely for archival purposes. More detailed subway ridership data is now supported through the Subway hourly dataset.,Published,Complete,https://data.ny.gov/d/xfn5-qji9,2. System usage,
19,MTA Subway Turnstile Usage Data: 2020,Subway,Static - Not Updated,This retired dataset contains information on entry/exit values for individual control areas and is posted purely for archival purposes. More detailed subway ridership data is now supported through the Subway hourly dataset.,Published,Complete,https://data.ny.gov/d/py8k-a8wg,2. System usage,
20,MTA Subway Turnstile Usage Data: 2021,Subway,Static - Not Updated,This retired dataset contains information on entry/exit values for individual control areas and is posted purely for archival purposes. More detailed subway ridership data is now supported through the Subway hourly dataset.,Published,Complete,https://data.ny.gov/d/uu7b-3kff,2. System usage,
21,MTA Subway and Bus Vandalism: Beginning 2021,"Subway,Bus",Monthly,This dataset reflects the monthly number of units vandalized for select elements of the subway and bus system.,Published,Complete,https://data.ny.gov/d/23fs-vfbd,4. Safety / security,
22,MTA NYCT Paratransit Ridership: Beginning October 2016,AAR,Monthly,Presents Access-A-Ride ridership measured both as total trips (the count of trips provided to registered Access-A-Ride clients) and total ridership (the count of personal care attendants (PCAs) and guests who join clients on the trips).,Published,Complete,https://data.ny.gov/d/fn46-66ir,2. System usage,
23,MTA Subway Elevator and Escalator Service Status,Subway,TBD,Provides information about planned and real-time elevators and escalator outages in the NYC subway system.,Planned - link to feeds,Q2 2022,,9. Data feeds,Delayed while determining how to best link to real-time feeds.
24,MTA Bus Hourly Ridership: 2020 - 2024,Bus,Weekly,This dataset provides bus ridership estimates on an hourly basis by bus route and class of fare payment.,Published,Complete,https://data.ny.gov/d/kv7t-n8in,2. System usage,
25,MTA Colors,HQ,As needed,"This dataset includes the RGB Hex code and CMYK values for the colors used by the MTA for its various services, including the New York City Subway, the Staten Island Railway, the Long Island Rail Road, Metro-North Railroad, and Bridges & Tunnels, and for the MTA logo itself.",Published,Complete,https://data.ny.gov/d/3uhz-sej2,11. Miscellaneous,
26,MTA Subway Turnstile Usage Data: 2022,Subway,Static - Not Updated,This retired dataset contains information on entry/exit values for individual control areas and is posted purely for archival purposes. More detailed subway ridership data is now supported through the Subway hourly dataset.,Published,Complete,https://data.ny.gov/d/k7j9-jnct,2. System usage,
27,MTA General Transit Feed Specification (GTFS) Static Data,"Subway,Bus,LIRR,MNR",Static - Not Updated,"Presents schedules and associated data (including station / bus stop locations, train lines, and bus routes) for NYCT Subway, NYCT Bus, MTA Bus, LIRR, and Metro-North in GTFS Static format.",Published,Complete,https://data.ny.gov/d/fgm6-ccue,9. Data feeds,
28,MTA Real Time Feeds,"Subway,Bus,LIRR,MNR",TBD,"Provides real-time and planned service alert information for subways, buses, Long Island Rail Road, and Metro-North Railroad. This information is available in GTFS-RT (protocol buffer) and JSON formats.",Planned - link to feeds,Q2 2022,,9. Data feeds,Delayed while determining how to best link to real-time feeds.
29,MTA Staten Island Railway On-Time Performance: Beginning 2006,Subway,Monthly,"This dataset includes On-Time Performance (OTP) data, which measures the percentage of trains arriving at their destination terminals as scheduled, for the Staten Island Railway (SIR). While the main measure for OTP excludes delays caused by trains held for connections with the Staten Island Ferry, OTP including boat delays is also included. The dataset also includes the number of on-time trips and delayed trips per month (both including and excluding boat delays), the number of scheduled trips, incomplete trains per month, and the percent of trains that are completed per month.",Published,Complete,https://data.ny.gov/d/fccm-griq,1. Operational metrics and data,
30,MTA NYCT Safety Data: Beginning 2019,"Bus,Subway",Monthly,"This dataset provides insights into safety-related incidents and indicators within New York City Transit (NYCT). NYCT is responsible for overseeing the safety of subway and bus operations, aiming to ensure the well-being of both employees and passengers. This dataset offers information about various safety aspects, including incidents, collisions, and accident prevention indicators within the NYCT system.",Published,Complete,https://data.ny.gov/d/uf7t-sfzu,4. Safety / security,
31,MTA NYCT Subway Fare Evasion: Beginning 2018,Subway,Quarterly,Quarterly estimated Fare Evasion rate for Subways with margin of error. Rate estimated using surveys conducted by traffic checkers and applying stratified sampling.,Published,Complete,https://data.ny.gov/d/6kj3-ijvb,2. System usage,
32,MTA Bus Fare Evasion: Beginning 2019,Bus,Quarterly,"The bus fare evasion (BFE) rate is the estimated percentage of riders who illegally board buses. It is calculated systemwide quarterly using Automated Passenger Counters. Rates are calculated and reported separately for Local/Limited, Express and Select Bus Service. Prior to Q1 2020, fare evasion was estimated using surveys conducted by traffic checkers.",Published,Complete,https://data.ny.gov/d/uv5h-dfhp,2. System usage,
33,MTA LIRR Safety and Grade Crossing Incidents: Beginning 2019,LIRR,Monthly,"This dataset includes the following safety metrics: customer accident rate, grade crossing incidents, train derailments, train collisions, lost time accident rate, lost time injury rate, employee lost time days.",Published,Complete,https://data.ny.gov/d/ka57-re2h,4. Safety / security,
34,MTA Subway Station Complexes,Subway,As needed,"A dataset listing all station complexes in the subway system. Station complexes are collections of stations which are interconnected by passageways within fare control or are stations on different levels that are not parallel to each other and that are connected by stairways, escalators, or elevators.",Published,Complete,https://data.ny.gov/d/4ta5-wz5s,10. Assets / geographical information,
35,MTA Subway Major Incidents: 2015-2019,Subway,Static - Not Updated,"Major Incidents are incidents that delay 50 or more trains, which cause the most disruption to customers.",Published,Complete,https://data.ny.gov/d/ereg-mcvp,1. Operational metrics and data,
36,MTA LIRR Service Reliability: Beginning 2015,LIRR,Monthly,"Service Reliability metrics evaluate the LIRRÕs ability to deliver timely and effective service to its customers. Included in these metrics are: Major Incidents, 4m to 6m Train Delays, Average Delay per Late Train, Number of Trains Over 15 Minutes Late, Number of Short Trains, Low Adhesion Delays.",Published,Complete,https://data.ny.gov/d/x64c-i76x,1. Operational metrics and data,
37,MTA Subway Stations,Subway,As needed,"A dataset listing all subway and Staten Island Railway stations, with information on their locations, Station Master Reference Number (MRN), Complex MRN, GTFS Stop ID, the services that stop there, the type of structure the station is on or in, whether the station is in ManhattanÕs Central Business District (CBD), and their ADA-accessibility status.",Published,Complete,https://data.ny.gov/d/39hk-dx4f,10. Assets / geographical information,
38,MTA Bus Mean Distance Between Failures: Beginning 2015,Bus,Monthly,Mean Distance Between Failures reports how frequently bus mechanical problems cause delays.,Published,Complete,https://data.ny.gov/d/7mt2-y7ip,1. Operational metrics and data,
39,MTA Subway Mean Distance Between Failures: Beginning 2015,Subway,Monthly,Mean Distance Between Failures reports how frequently train mechanical problems cause delays by month and subway car class. It is the main indicator for subway car reliability used at NYCT and is used to compare performance over time and across different subway car types. Only a small proportion of subway delays are due to malfunctioning trains.,Published,Complete,https://data.ny.gov/d/e2qc-xgxs,1. Operational metrics and data,
40,MTA Staten Island Railway Mean Distance Between Failures: Beginning 2006,Subway,Monthly,This dataset measures Mean Distance Between Failures (MDBF) for the Staten Island Railway (SIR). MDBF reports how frequently train mechanical problems cause delays.,Published,Complete,https://data.ny.gov/d/n2pf-h43s,1. Operational metrics and data,
41,MTA LIRR Mean Distance Between Failures: Beginning 2015,LIRR,Monthly,Represents the average number of miles a rail car travels before a mechanical failure causes the train to arrive at its final destination more than 5 minutes and 59 seconds later than scheduled. This measures the reliability of equipment in revenue service.,Published,Complete,https://data.ny.gov/d/cpjs-d6ua,1. Operational metrics and data,
42,MTA Subway Service Delivered: 2015-2019,Subway,Static - Not Updated,Service Delivered measures the percentage of scheduled trains that are actually provided during peak hours on weekdays (7 AM to 10 AM and 4 PM to 7 PM) and weekends (10 AM to 6 PM) for a given month.,Published,Complete,https://data.ny.gov/d/32ch-sei3,1. Operational metrics and data,
43,MTA Bus Service Delivered: 2015-2019,Bus,Static - Not Updated,Service Delivered measures the percentage of scheduled buses that are actually provided during peak hours.,Published,Complete,https://data.ny.gov/d/tw28-zvtk,1. Operational metrics and data,
44,MTA Subway Customer Journey-Focused Metrics: 2015-2019,Subway,Static - Not Updated,"This dataset measures the quality of the rider experience based on several subway journey-focused metrics, including the estimated average extra time that customers spend waiting on the platform or onboard a train, as well as the estimated percentage of customer trips with a total travel time within five minutes of the scheduled time. 



Additional Platform Time (APT) is the estimated average extra time that customers spend waiting on the platform for a train, compared with their scheduled wait time.  

  

Additional Train Time (ATT) is the estimated average extra time that customers spend onboard a train, compared to the time they would have spent onboard a train if trains were running according to schedule.  

  

Additional Journey Time (AJT) is the estimated average extra time that customers spend on their journey, compared with the scheduled time. It is the sum of the additional time spent waiting on platforms (APT) and the additional time spent onboard a train (ATT).  

  

Journey Time is the average total time a customer spends on their journey waiting for and riding a specific train line.   

  

Customer Journey Time Performance (CJTP) is the estimated percentage of rider trips that are completed within 5 minutes of their scheduled time.  

  

These measures are estimated for each individual train a customer uses in their journey, also known as an unlinked trip, not all trains in their journey combined.",Published,Complete,https://data.ny.gov/d/r7qk-6tcy,1. Operational metrics and data,
45,MTA Bus Customer Journey-Focused Metrics: 2017-2019,Bus,Static - Not Updated,"Measures the quality of the customer experience based on several bus journey-focused metrics, including the estimated average extra time that customers spend waiting at a bus stop or onboard a bus, as well as the estimated percentage of customer trips with a total travel time within five minutes of the scheduled time.",Published,Complete,https://data.ny.gov/d/8mkn-d32t,1. Operational metrics and data,
46,MTA Staten Island Railway Scheduled Trips: Beginning 2006,Subway,Monthly,This dataset includes the number of trips scheduled to run on the Staten Island Railway for different periods of time in each month based on the timetable in effect.,Published,Complete,https://data.ny.gov/d/k3aj-27se,1. Operational metrics and data,
47,MTA LIRR Major Incidents: Beginning 2020,LIRR,Monthly,"This dataset is of major incidents on the LIRR, which are defined as events that lead to ten or more trains that are delayed by more than 5 minutes 59 seconds, canceled, or terminated.",Published,Complete,https://data.ny.gov/d/jm7j-e7gc,1. Operational metrics and data,
48,MTA Metro-North Major Incidents: Beginning 2022,MNR,Monthly,"This dataset is of major incidents on Metro-North, which are defined as events that lead to ten or more trains that are delayed by more than 5 minutes 59 seconds, canceled, or terminated.",Published,Complete,https://data.ny.gov/d/s3yp-8c47,1. Operational metrics and data,
49,MTA Procurements: Beginning 2018,HQ,Annually,The dataset consists of annual procurement contracts data reported by the Metropolitan Transportation Authority to the Authorities Budget Office via the Public Authorities Reporting Information System (PARIS).,Published,Complete,https://data.ny.gov/d/twsw-2mqa,5. Financial,
50,MTA Bus Speeds: 2015-2019,Bus,Static - Not Updated,Bus Speeds measure how quickly buses travel along their routes.,Published,Complete,https://data.ny.gov/d/cudb-vcni,1. Operational metrics and data,
51,MTA Subway Stations and Complexes,Subway,As needed,"A dataset listing all subway and Staten Island Railway stations, with data aggregated by station complex. This dataset includes information on station names, their locations, Station IDs, Complex IDs, GTFS Stop IDs, the services that stop there, the type of structure the station is on or in, whether they are in ManhattanÕs Central Business District (CBD), and their ADA-accessibility status.",Published,Complete,https://data.ny.gov/d/5f5g-n3cz,10. Assets / geographical information,
52,MTA Express Bus Capacity: April 2023 - September 2023,Bus,Static - Not Updated,"This dataset provides the load percentage for each express bus route at its maximum load point (the bus stop where the highest number of passengers are on the bus) by direction, hour, day type (weekday, weekends and holidays), aggregated by week.",Published,Complete,https://data.ny.gov/d/4tpr-3bvc,1. Operational metrics and data,
53,MTA LIRR Service Delivered: Beginning 2019,LIRR,Monthly,"Presents the total number and percentage of LIRR trains that have been canceled, either fully (Canceled) or partially (Terminated).",Published,Complete,https://data.ny.gov/d/hpua-e653,1. Operational metrics and data,
54,MTA LIRR Safety Indicators: Beginning 2019,LIRR,Monthly,"This dataset provides information on various indicators of safety measured by Long Island Rail Road. The indicators are a combination of preventative measures taken to prevent unsafe incidents, as well as occurrences of unsafe incidents.",Published,Complete,https://data.ny.gov/d/p5sp-5vfy,4. Safety / security,
55,MTA Subway Terminal On-Time Performance: 2015-2019,Subway,Static - Not Updated,Terminal On-Time Performance measures the percentage of subway trains arriving at their destination terminals as scheduled.,Published,Complete,https://data.ny.gov/d/f6rf-2a3t,1. Operational metrics and data,
56,MTA Central Business District Bus Routes,Bus,As needed,"This dataset is a list of MTA bus routes that intersect with the CBD, and how each route relates to the CBD (whether it crosses the CBD or is entirely in the CBD). It is meant to be a dimension table that can easily be used with other bus route-level datasets so that data users can easily distinguish between routes serving the CBD and routes that do not.",Published,Complete,https://data.ny.gov/d/cgzt-smqf,10. Assets / geographical information,
57,MTA LIRR On-Time Performance: Beginning 2015,LIRR,Monthly,On-Time Performance (OTP) determines how frequently a commuter train arrives at its final destination within 5 minutes and 59 seconds of its scheduled time.,Published,Complete,https://data.ny.gov/d/6kq9-5ikh,1. Operational metrics and data,
58,MTA NYCT Paratransit Pickup On-Time Performance: Beginning 2016,AAR,Monthly,"Pickup On-Time Performance (OTP) measures the quality of provider service, comparing actual to promised pickup time. Trips are considered on-time if they arrive no more than 20 minutes after the promised time. This dataset also includes trips that arrive within 15 and 30 minutes of the promised time.",Published,Complete,https://data.ny.gov/d/rube-svnv,1. Operational metrics and data,
59,MTA Regional Transit Ridership to the Central Business District,"Subway,Bus,LIRR,AAR,MNR",Monthly,"This dataset combines transit ridership data from all MTA modes, PATH, NJ Transit, SI Ferry, NYC Ferry, and other transit agencies that serve the CBD at a monthly level.",Planned,Q1 2025,,2. System usage,
60,MTA NYCT Paratransit Provider No-Shows: Beginning 2016,AAR,Monthly,This metric measures the frequency with which primary providers do not arrive at the pick-up location within 30 minutes of the promised time and the trip is not provided.,Published,Complete,https://data.ny.gov/d/47iu-idvc,1. Operational metrics and data,
61,MTA NYCT Paratransit Ride Time: Beginning 2017,AAR,Monthly,"Ride Time measures customer trip duration. Actual vs. Scheduled presents travel time variance, Average Travel Time presents the average actual trip duration, and Max Ride Time by trip distance category.",Published,Complete,https://data.ny.gov/d/wtm4-vjm7,1. Operational metrics and data,
62,MTA NYCT Paratransit Customer Complaints: Beginning 2016,AAR,Monthly,"This metric measures customer complaints about Access-a-Ride, including about Transportation and non-Transportation service quality.  This data is used along with Trips/Ridership data to create the Complaint rate metric which is complaints per 1000 completed trips.",Published,Complete,https://data.ny.gov/d/98mr-pebg,8. Customer Feedback and Surveys,
63,MTA NYCT Paratransit Customer Experience: Beginning 2018,AAR,Monthly,"Customer Experience is the percentage of valid and no-show paratransit trips that meet all four separate measurable established standards for quality of provider service (Pick-up OTP, Drop-off OTP, Max Ride Time, Provider No-Show).",Published,Complete,https://data.ny.gov/d/qu52-5ejz,1. Operational metrics and data,
64,MTA NYCT Paratransit Call Center Performance: Beginning 2016,AAR,Monthly,Call Center Performance is measured as the percent of calls that are answered and the average speed with which those calls are answered.,Published,Complete,https://data.ny.gov/d/6r5t-chrj,1. Operational metrics and data,
65,MTA Subway Wait Assessment: 2015-2019,Subway,Static - Not Updated,Wait Assessment measures how regularly subway trains are spaced during peak hours at selected timepoints on each line.,Published,Complete,https://data.ny.gov/d/s666-h6b7,1. Operational metrics and data,
66,MTA Bus Wait Assessment: 2015-2019,Bus,Static - Not Updated,Wait Assessment measures how evenly buses are spaced.,Published,Complete,https://data.ny.gov/d/bmix-dpzc,1. Operational metrics and data,
67,MTA NYCT Subway Elevator and Escalator Availability: Beginning 2015,Subway,Monthly,The percent of the time that elevators and escalators are operational systemwide.,Published,Complete,https://data.ny.gov/d/rc78-7x78,3. Accessibility,
68,MTA Bridges & Tunnels Summonses: Beginning 2010,B&T,Monthly,"This dataset provides information on summonses issued for violations that took place on B&T facilities, including the date each summons was issued, the violation, the code for the section of law being violated, the location, and the summons type (Traffic, Parking, TAB, Criminal).",Planned,Q3 2024,,4. Safety / security,
69,MTA LIRR Elevator and Escalator Availability: Beginning 2019,LIRR,Monthly,The percent of the time that elevators and escalators are operational systemwide.,Published,Complete,https://data.ny.gov/d/9hjt-526f,3. Accessibility,
70,MTA Subway Origin-Destination Ridership Estimate: 2024,Subway,Monthly,"This dataset provides an estimate of subway travel patterns based on scaled-up OMNY and MetroCard return tap and swipe data. It provides estimated passenger volumes for all populated origin-destination (OD) pairs aggregated by month, day of the week, and hour of day. It also provides the name, ID, and approximate latitude and longitude of the origin and destination subway complexes.",Published,Complete,https://data.ny.gov/d/jsu2-fbtj,2. System usage,
71,MTA Bridges & Tunnels Collisions: Beginning 2010,B&T,Monthly,This dataset provides information on collisions that have taken place at B&T facilities.,Planned,Q3 2024,,4. Safety / security,
72,MTA McKinsey Ridership Projections: October 2020 - December 2026,HQ,Static - Not Updated,"Ridership projections for the Metropolitan Transportation Authority, developed by McKinsey & Company, to help management assess the financial impact of the COVID-19 pandemic on MTA operations.",Published,Complete,https://data.ny.gov/d/c6y7-ek5e,2. System usage,
73,MTA Bus Wheelchair Ramp/Lift Usage: Beginning 2017,Bus,Monthly,This indicator shows the number of wheelchair ramp or lift deployments on buses each month.,Published - enhancements planned,Q4 2023,https://data.ny.gov/d/e2u6-bmnn,3. Accessibility,"Enhancements on this dataset are delayed due to unexpected, underlying issues with the source data that will take additional time to resolve."
74,MTA NYCT Reduced-Fare MetroCard History: 2018 - 2023,"Subway,Bus",Static - Not Updated,This indicator shows the number of subway and bus journeys made each month by passengers using Reduced-Fare MetroCards between 2018 and 2023.,Published,Complete,https://data.ny.gov/d/v8fq-z483,2. System usage,
75,MTA Bridges & Tunnels Roadway Interdictions of Persistent Toll Violators: Beginning 2017,B&T,Monthly,"This dataset provides detailed information on persistent toll violators, including the date and time of each violation, the B&T facility where it took place, the type of violation, whether the suspension was confirmed by EJU (Electronic Jurisdictional Unit), and financial details such as tolls owed, fees owed, payments made, and revenue recovered.",Planned,Q3 2024,,4. Safety / security,
76,MTA Debt Outstanding,HQ,Monthly,"The MTA Debt Outstanding dataset provides detailed information of MTAÕs outstanding principal from its bond issuances. The information is provided by credit and by specific bond series and is shown in dollars in millions. The dataset shows the original issuances amount, Bond Purchase Agreement sale date, the final maturity date, how much of the series is outstanding in fixed rate, variable, or synthetic fixed, and the total outstanding. Additionally, the dataset indicates the true interest cost (TIC) for the specific bond series.",Published,Complete,https://data.ny.gov/d/sze3-m8qh,5. Financial,
77,MTA Farebox Recovery Ratios,HQ,TBD,"Provides farebox recovery ratios, being the percentage of operating budget met by fares collected from customers.",Planned,Q4 2024,,5. Financial,
78,MTA Fuel Hedging,HQ,Monthly,"The Fuel Hedging dataset contains, weighted average fuel prices locked in by financial hedging, historical and forecasted data of fuel purchases across MTA agencies, and forecasted commodity prices.",Published,Complete,https://data.ny.gov/d/dips-jfpb,5. Financial,
79,MTA Department Workforce Positions: 2017-2023,HQ,Static - Not Updated,"The dataset provides financial information on total positions related to different MTA Agencies budgetary estimates and actuals by job function, type, and agency.",Published,Complete,https://data.ny.gov/d/d763-dxxz,6. Workforce data,
80,MTA Occupational Group Workforce Positions: 2017-2023,HQ,Static - Not Updated,"The dataset provides financial information on total positions related to different MTA Agencies budgetary estimates and actuals by job function, type, and agency.",Published,Complete,https://data.ny.gov/d/d3jr-hyjf,6. Workforce data,
81,MTA Statement of Operations: Beginning 2019,HQ,Monthly,"This dataset is obtained from the MTAÕs annual budgeting process and provides a detailed breakout of the MTAÕs operating expenses and revenues. Data is available for each month of a fiscal year, on an accrual basis, and is categorized by budget scenario (actuals or budgeted plan), Agency, Financial Plan Year, Expense Type, and subcategories for types of expenses or revenues.",Published,Complete,https://data.ny.gov/d/yg77-3tkj,5. Financial,
82,MTA Overtime,HQ,TBD,"Provides totals for actual, estimated, and adopted overtime per MTA agency.",Planned,Q4 2023,,6. Workforce data,This dataset will likely be removed from the plan once the Accrual and Cash Statements of Operations are published as the data will be included in those datasets.
83,MTA Subsidies: Beginning 2019,HQ,Monthly,"This dataset provides a detailed breakout of the dedicated taxes and subsidies received from the State of New York and businesses, individuals and localities in the MTA region. This data is obtained from the MTAÕs annual budgeting process and is available for each month of a fiscal year, on both an accrual (represented as NREIMB) and a cash basis. Data is categorized by budget scenario, Agency, Financial Plan Year, and subcategories for types of subsidies.",Published,Complete,https://data.ny.gov/d/dfg9-c5rx,5. Financial,
84,MTA Headcount: Beginning 2024,HQ,Monthly,"The dataset provides financial information on total positions related to different MTA Agencies budgetary estimates and actuals by job function, type, and agency.",Published,Complete,https://data.ny.gov/d/ui26-n8p4,6. Workforce data,
85,MTA Vehicle Miles Traveled (VMT) In and Around the Central Business District,B&T,Monthly,"This dataset provides the total distance traveled in the CBD, measured in miles, on a monthly basis.",Planned,Q1 2025,,2. System usage,
86,MTA Taxi and For-Hire Vehicle VMT in the Central Business District,B&T,Monthly,"This dataset provides the daily average distance traveled by all taxis and high-volume-for-hire-vehicles (HVFHVs) in the CBD, measured in miles, on a monthly basis.",Planned,Q1 2025,,2. System usage,
87,MTA Central Business District Modeled GHG Emissions,B&T,Quarterly,This dataset combines emissions factors and fuel source dimension from the New York Metropolitan Transportation Council and vehicle miles traveled per car type data from Streetlight to model greenhouse gas emissions in the CBD.,Planned,Q1 2025,,11. Miscellaneous,
88,MTA Central Business District Taxi Zones,B&T,As needed,"This dataset consists of a set of polygons that will allow users of New York City Taxi and Limousine Commission data on trip records for taxi and for-hire vehicle trips to determine which trips originate and/or end in a Taxi Zone in the Central Business District and are thus subjected to the CBD Tolling Program. TLC trip record data is available on NYC Open Data in separate datasets each year for yellow taxis, green taxis, for-hire vehicles (FHVs) dispatched by a high-volume for-hire vehicle service (HVFHVs), and other FHVs.",Published,Complete,https://data.ny.gov/d/yfdc-w5jh,10. Assets / geographical information,
89,MTA Vehicle Entries to the Central Business District,B&T,Monthly,This dataset provides the number of hourly toll crossings into the Central Business District by crossing location and vehicle class.,Planned,Q1 2025,,2. System usage,
90,MTA Vehicle Speeds in the Central Business District,B&T,Monthly,"This dataset provides the average travel speed of all vehicles in the CBD, on a monthly basis.",Planned,Q1 2025,,1. Operational metrics and data,
91,MTA Hourly PM2.5 Measurements Related to Central Business District Tolling,B&T,TBD,"This dataset measures hourly mean fine particle pollutant (PM2.5) levels, in micrograms per cubic meter of air (µg/m3), at selected monitoring sites from the New York City Community Air SurveyÕs network of TSI DustTrak sensors.",Planned,Q1 2025,,1. Operational metrics and data,
